topic,avg_views,avg_score,avg_comments,V_hat,S_hat,C_hat,fused_popularity,avg_hours,avg_no_accepted_answer,T_hat,P_hat,fused_difficulty
Application data encryption & key storage,25068.844262295082,12.241803278688524,5.270491803278689,0.9482262249945831,0.47197780902624065,0.86404077321824,0.7614149357463545,1093.4545064105123,0.3155737704918033,1.3520990478949972,1.0512480829716646,1.2016735654333308
"Block cipher modes, IV/nonce, and padding",21268.470588235294,16.702205882352942,5.727941176470588,0.8044775166449708,0.6439468400853645,0.9390347063982605,0.7958196877095318,504.79990695436504,0.27941176470588236,0.6242047287463796,0.9307842079176158,0.7774944683319978
"Client-server secure communication (HTTP/HTTPS, sessions)",23881.09216589862,24.207373271889402,6.184331797235023,0.9032996350484572,0.933305554667494,1.0138550684391505,0.950153419385034,617.2917108482476,0.31336405529953915,0.7633052217702812,1.043887018532878,0.9035961201515795
Conceptual crypto explanations and learning,9690.277777777777,13.38888888888889,6.388888888888889,0.3665336710472625,0.5162032340508697,1.047390016265069,0.6433756404544003,30.927099265873014,0.2222222222222222,0.03824256174023387,0.7402728203321389,0.3892576910361864
Crypto library/API implementation in code,31493.894736842107,18.892230576441104,5.130325814536341,1.1912530392000822,0.7283823626385278,0.8410620581737545,0.9202324866707882,1064.026096252507,0.3057644110275689,1.3157096735566702,1.018570873088582,1.1671402733226262
Cryptographic hash functions & collisions,25604.44171779141,30.226993865030675,6.012269938650307,0.9684851387294237,1.16538960911935,0.9856473665999367,1.0398407048162368,903.1945062404579,0.19631901840490798,1.1168351539019044,0.6539833504774725,0.8854092521896884
Cryptosystem design pitfalls & attack resistance,19791.446969696968,31.303030303030305,7.106060606060606,0.7486092637897347,1.2068757618435648,1.1649626505019384,1.0401492253784126,18.42503162962963,0.3181818181818182,0.022783268602218937,1.0599360836573808,0.5413596761297998
"Encoding and byte/string conversions (Base64, binary)",29073.131355932204,15.608050847457626,5.612288135593221,1.0996879355890723,0.6017621321343767,0.9200746270366804,0.8738415649200432,832.4027749309435,0.24152542372881355,1.0292984233463323,0.8045761797253967,0.9169373015358645
"File handling, integrity checks & checksums",25333.128078817736,22.014778325123153,5.995073891625616,0.9582227307387811,0.8487709370545563,0.982828258569398,0.9299406421209118,1697.1438180749806,0.2955665024630542,2.0985843737504033,0.9845993176831406,1.5415918457167719
"Key protection on devices (memory/disk access, threat model)",15936.37062937063,28.055944055944057,6.755244755244755,0.6027914332185972,1.0816856556369905,1.1074501430718768,0.9306424106424881,199.86612049691362,0.3706293706293706,0.24714223559008203,1.234650822721784,0.7408965291559331
Key sizes and security parameters selection,35506.09210526316,28.875,4.8355263157894735,1.3430139550518445,1.1132640286221556,0.7927328326765938,1.083003605450198,698.5091363835471,0.3157894736842105,0.863733728941785,1.0519666394193552,0.9578501841805701
"Number theory for crypto (primes, factoring, modular arithmetic)",19314.060109289618,19.39344262295082,5.8469945355191255,0.7305521592910276,0.747706391801865,0.9585522315640401,0.8122702608856441,569.2540359360411,0.34972677595628415,0.70390476740195,1.1650195205227105,0.9344621439623302
OpenSSL installation/build and runtime errors,65165.54989384289,33.72611464968153,5.193205944798302,2.4648796222517877,1.300296805703105,0.8513705831462836,1.5388490037003921,1438.1870772972425,0.4182590233545648,1.7783742867290775,1.3933160408162233,1.5858451637726505
"Password hashing with salt (bcrypt, rainbow tables)",33900.51986754967,40.62251655629139,6.377483443708609,1.282283365081528,1.5661848115749668,1.0455202154874002,1.2979961307146317,387.2623656539352,0.2052980132450331,0.47886498506931946,0.6838944267306846,0.581379705900002
Password strength and entropy estimation,16221.274509803921,39.28431372549019,7.6568627450980395,0.6135678905695208,1.5145909388639256,1.255260771411282,1.1278065336149095,163.13336720679013,0.29411764705882354,0.20172075672748385,0.9797728504395956,0.5907468035835397
Public-key cryptography: encryption and digital signatures,25013.366515837104,23.936651583710407,5.484162895927602,0.946127785451673,0.9228679887032502,0.8990698640503144,0.9226885460684126,542.0874420794754,0.34841628959276016,0.6703122169367344,1.1606539920592132,0.9154831044979738
"Secure random number generation (entropy, seeding, PRNG)",17152.603305785124,24.1900826446281,6.454545454545454,0.6487952979123576,0.9326389214774568,1.0581537081318244,0.8798626425072129,914.1464109300875,0.2644628099173554,1.1303776102333483,0.8809858357671736,1.005681723000261
"Security vs performance (cost, speed, hardware limits)",21482.40740740741,30.488888888888887,6.562962962962963,0.8125696528562933,1.1754868665855487,1.0759275993169288,1.021328039586257,1405.2539189222223,0.25925925925925924,1.7376511548365443,0.8636516237208287,1.3006513892786864
"Trust, vendors, and real-world security risk",19473.88495575221,41.78761061946903,7.929203539823009,0.7365975161984262,1.611104545271829,1.2999081325373627,1.215870064669206,738.7221007575758,0.3185840707964602,0.9134586242386608,1.0612760787062523,0.9873673514724566
User authentication and account management,17125.795454545456,16.34090909090909,6.4602272727272725,0.6477812939433178,0.6300171873902636,1.0590851814664475,0.778961220933343,536.1476154415955,0.3352272727272727,0.6629673901564205,1.1167183738533117,0.889842882004866
"X.509 certificates, signing, and trust chains",57693.3598820059,33.3952802359882,5.112094395280236,2.182244872391255,1.287541617748297,0.838073211937221,1.4359532340255912,2628.651434222222,0.336283185840708,3.2504297898291745,1.1202358608565997,2.185332825342887
