site,tag,question_id,accepted_answer_id,answer_count,creation_date,is_answered,last_activity_date,last_edit_date,owner_id,owner_reputation,score,view_count,title,body
stackoverflow,python;encryption;rsa,30056762,nan,7,"2015/05/05, 12:08:38",True,"2022/11/02, 22:22:07","2016/05/07, 13:48:25",nan,nan,44,286659,RSA encryption and decryption in Python,"<p>I need help using RSA encryption and decryption in Python. </p>

<p>I am creating a private/public key pair, encrypting a message with keys and writing message to a file. Then I am reading ciphertext from file and decrypting text using key. </p>

<p>I am having trouble with the decryption portion. As you can see in my code below, when I put in <code>decrypted = key.decrypt(message)</code> that the program works, yet the decrypted message is encrypted again. It seems like it is not reading the ciphertext from the file. </p>

<p>Can anyone help me write this code so decryption reads ciphertext from file and then uses key to decrypt ciphertext?</p>

<pre><code>import Crypto
from Crypto.PublicKey import RSA
from Crypto import Random

random_generator = Random.new().read
key = RSA.generate(1024, random_generator) #generate public and private keys

publickey = key.publickey # pub key export for exchange

encrypted = publickey.encrypt('encrypt this message', 32)
#message to encrypt is in the above line 'encrypt this message'

print 'encrypted message:', encrypted #ciphertext

f = open ('encryption.txt', 'w'w)
f.write(str(encrypted)) #write ciphertext to file
f.close()

#decrypted code below

f = open ('encryption.txt', 'r')
message = f.read()

decrypted = key.decrypt(message)

print 'decrypted', decrypted

f = open ('encryption.txt', 'w')
f.write(str(message))
f.write(str(decrypted))
f.close()
</code></pre>
"
stackoverflow,python;encryption;rsa,9093046,nan,3,"2012/02/01, 05:50:34",True,"2012/11/19, 09:49:30",nan,1023720,337,10,7354,Implementing full RSA in Python,"<p>I am currently working on a project using python to implement p2p communication between two (or more) computers.  Although I am pretty proficient with python, I am by no means an expert; programming and encryption are by no means my profession, simply a hobby.  However, in working on this project I have been attempting to learn more about encryption as well as network programming.</p>

<p>As of right now I have written a pretty powerful class that communicates well over a network and I am trying to improve it by implementing RSA to encrypt the connections between peers on the network; this is where I've run into some difficulty.</p>

<p>I have previously used pycrypto to do some basic encryption/decryption in python and am thus-far quite comfortable with all of the tools involved -- including the necessary public-key ciphers.  Moreover, I am also aware that pycrypto has some shortcomings, in the fact that it only implements the bare-bones, low level encryption/decryption algorithms needed to implement RSA and does not implement a full protocol for public-key encryption.  I also know that pycrypto contains some other useful tools such as an AllOrNothing transform which can be used for padding the communication, etc.  However, my question is: can anyone recommend any online articles, books, blog posts, projects, etc. which can help me in my quest to implement an effective RSA protocol?</p>

<p>Lastly, I understand that this is a touchy subject with cryptologists in that amateur-implemented protocols usually mean less security in the program.  As I noted above, this project is a mere learning experience; if I was completing this project professionally I would surely use M2Crypto or some other professionally-implemented, secure protocol -- i.e. SSL/TLS.  Alas, I am merely trying to learn more about encryption by implementing my own model of a proven protocol to create a secure connection between two peers.</p>

<p>Thanks,
Kevin</p>
"
stackoverflow,python;encryption;rsa,20483504,20484325,2,"2013/12/09, 21:10:27",True,"2018/02/28, 17:06:10","2013/12/09, 22:41:00",1601580,5912,9,6213,Making RSA keys from a password in python,"<p>I want to be able to generate and <strong>re-generate</strong> the same RSA keys from a <strong>password</strong> (and salt) alone in <strong>python</strong>.</p>

<p>Currently I was doing it using pycrypto, however, it does not seem to generate the same exact keys from the password alone. The reason seems to be that when pycrypto generates a RSA key it uses some sort of random number internally.</p>

<p>Currently my code looks as follows:</p>

<pre><code>import DarkCloudCryptoLib as dcCryptoLib #some costume library for crypto
from Crypto.PublicKey import RSA

password = ""password""


new_key1 = RSA.generate(1024) #rsaObj
exportedKey1 = new_key1.exportKey('DER', password, pkcs=1)
key1 = RSA.importKey(exportedKey1)

new_key2 = RSA.generate(1024) #rsaObj
exportedKey2 = new_key2.exportKey('DER', password, pkcs=1)
key2 = RSA.importKey(exportedKey2)
print dcCryptoLib.equalRSAKeys(key1, key2) #wish to return True but it doesn't
</code></pre>

<p>I don't really care if I have to not use pycrypto, as long as I can generate these RSA keys from passwords and salts alone.</p>

<p>Thanks for the help in advance.</p>

<p>Just for reference, this is how dcCryptoLib.equalRSAKeys(key1, key2) function looks like:</p>

<pre><code>def equalRSAKeys(rsaKey1, rsaKey2):
    public_key = rsaKey1.publickey().exportKey(""DER"") 
    private_key = rsaKey1.exportKey(""DER"") 
    pub_new_key = rsaKey2.publickey().exportKey(""DER"")
    pri_new_key = rsaKey2.exportKey(""DER"")
    boolprivate = (private_key == pri_new_key)
    boolpublic = (public_key == pub_new_key)
    return (boolprivate and boolpublic)
</code></pre>

<p>NOTE: Also, I am only using RSA for authentication. So any solution that provides a way of generating secure <strong>asymmetric</strong> signatures/verifying generated from passwords are acceptable solutions for my application. Though, generating RSA keys from passwords I feel, is a question that should also be answered as it seems useful if used correctly.</p>
"
stackoverflow,python;encryption;rsa,18940194,nan,2,"2013/09/22, 01:06:47",True,"2023/03/20, 06:21:22","2017/05/23, 08:46:43",1478636,4478,8,31023,Using Extended Euclidean Algorithm to create RSA private key,"<p>This is for an assignment I'm doing through school. I am having trouble generating a private key. My main problem is understanding the relation of my equations to each other. To set everything up, we have:</p>

<pre><code>p = 61
q = 53
n = p * q (which equals 3233)
</code></pre>

<p>From here we have the totient of n (<code>phi(n)</code>) which equals 3120, now we can choose prime e; where 1 &lt; e &lt; 3120</p>

<pre><code>e = 17
</code></pre>

<p>Okay easy enough.</p>

<p>For my assignment we've been made aware that <code>d = 2753</code>, however I still need to be able to arbitrarily generate this value.</p>

<p>Now here is where I am having trouble. I've been perusing wikipedia to understand and somewhere something isn't connecting. I know that I need to find the <a href=""http://en.wikipedia.org/wiki/Modular_multiplicative_inverse"" rel=""noreferrer"">modular multiplicative inverse</a> of <code>e (mod phi(n))</code> which will be <code>d</code>, our private exponent.</p>

<p>Reading though wikipedia tells us to find the mmi we need to use the <a href=""http://en.wikipedia.org/wiki/Extended_Euclidean_algorithm#Iterative_method_2"" rel=""noreferrer"">Extended Euclidian Algorithm</a>. I've implemented the algorithm in python as follows:</p>

<pre><code>def egcd(a, b):
    x, lastX = 0, 1
    y, lastY = 1, 0
    while (b != 0):
        q = a // b
        a, b = b, a % b
        x, lastX = lastX - q * x, x
        y, lastY = lastY - q * y, y
    return (lastX, lastY)
</code></pre>

<p>This is where I am lost. To my understanding now, the equation <code>ax + bx = gcd(a, b) = 1</code> is the same <code>e*x + phi(n)*y = gcd(e, phi(n)) = 1</code>.
So we call <code>egcd(e, phi(n))</code>, and now I get <code>[-367, 2]</code> for my x and y.</p>

<p>From here I honestly don't know where to go. I've read <a href=""https://math.stackexchange.com/questions/67171/calculating-the-modular-multiplicative-inverse-without-all-those-strange-looking"">this similar question</a> and I see that there are some substitutions that happen, but I don't understand how those number relate to the answer that I got or the values I have started out with. Can someone explain to me pragmatically what I need to do from here? (When I say pragmatically, I mean without actual code. Pseudo code is fine, but if I get actual code I won't be able to learn without plagiarism on my assignment which is a big no-no).</p>

<p>As always, any help is genuinely appreciated. Thanks everyone!</p>

<p>(And yes, I have seen these:<a href=""https://stackoverflow.com/questions/4422633/rsa-private-key-calculation-with-extended-euclidean-algorithm?rq=1"">RSA: Private key calculation with Extended Euclidean Algorithm</a> and <a href=""https://stackoverflow.com/questions/16310871/in-rsa-encryption-how-do-i-find-d-given-p-q-e-and-c"">In RSA encryption, how do I find d, given p, q, e and c?</a>)</p>
"
stackoverflow,python;encryption;rsa,23848849,23849441,2,"2014/05/24, 16:27:41",True,"2017/02/13, 05:07:33",nan,430705,621,8,29394,How to use encrypted RSA private key with PyCrypto?,"<p>I am generating a key with OpenSSL, providing the password from stdin:</p>

<pre><code>openssl genpkey -algorithm RSA -out private-key.pem -outform PEM -pass stdin -des3 -pkeyopt rsa_keygen_bits:4096
</code></pre>

<p>The key then looks like:</p>

<pre><code>-----BEGIN ENCRYPTED PRIVATE KEY-----
XXX...
-----END ENCRYPTED PRIVATE KEY-----
</code></pre>

<p>My Python code looks like:</p>

<pre><code>from Crypto.PublicKey import RSA
# ...
f = open('private-key.pem', 'r')
r = RSA.importKey(f.read(),  passphrase='some-pass')
f.close()
</code></pre>

<p>but I am getting an exception:</p>

<pre><code>  File ""/usr/lib/python2.7/dist-packages/Crypto/PublicKey/RSA.py"", line 665, in importKey
    return self._importKeyDER(der)
  File ""/usr/lib/python2.7/dist-packages/Crypto/PublicKey/RSA.py"", line 588, in _importKeyDER
    raise ValueError(""RSA key format is not supported"")
ValueError: RSA key format is not supported
</code></pre>

<p>What's wrong?</p>

<p>Is it possible to generate an encrypted RSA key, store it in a file and later use it with PyCrypto? Is it possible to do it with OpenSSL? What formats are supported?</p>

<p>Importing the public key works fine, however it is not encrypted.</p>
"
stackoverflow,python;encryption;rsa,2855326,2856628,1,"2010/05/18, 04:44:23",True,"2010/05/18, 08:11:26","2010/05/18, 04:52:55",343759,5941,7,10799,How can I create a key using RSA/ECB/PKCS1Padding in python?,"<p>I am struggling to find any method of using RSA in ECB mode with PKCS1 padding in python. I've looked into pyCrypto, but they don't have PKCS1 padding in the master branch (but do in a patch).  Nevertheless I found RSA with PKCS1 in the M2Crypto package, but I'm not sure if I can choose ECB mode...</p>
"
stackoverflow,python;encryption;rsa,9979358,9982832,1,"2012/04/02, 12:39:58",True,"2012/04/02, 16:56:33","2017/05/23, 08:45:50",289011,18556,7,5640,PyCrypto: Generate RSA key protected with DES3 password,"<p>I have been able to create a RSA key protected by password with DES3 (well... <em>I think</em> because I'm very new to this encryption world) by using the command:</p>

<pre><code>openssl genrsa -out ""/tmp/myKey.pem"" -passout pass:""f00bar"" -des3 2048
</code></pre>

<p>Now, I would like to do that inside a Python script, using PyCrypto, if possible. I have seen <a href=""https://stackoverflow.com/questions/6897899/how-add-change-password-for-rsa-priv-key-using-pycrypto"">this message</a>, which seems to discourage the use of PyCrypto to do that. Is it still like that?</p>

<p>Of course I can always call <code>os.execute</code>, and execute the above command, but I'd consider that ""cheating"" <strong>:-)</strong>. I'm pretty much doing this to learn PyCrypto.</p>

<p>Thank you in advance.</p>
"
stackoverflow,python;encryption;rsa,6313943,6314287,2,"2011/06/11, 00:53:37",True,"2022/09/30, 08:41:14","2022/01/06, 19:40:58",569183,11040,6,4504,RSA encryption in python,"<p>I decided to write a simple RSA encryption implementation in Python, but every time I run it it prints the error <code>IndexError: list out of range</code> when it's decrypting and in <code>find_key</code>.</p>

<p>Here's the error:</p>

<pre>
p  937
q  353
n  330761
phi  329472
e  5
d  264609
Traceback (most recent call last):
  File ""rsa.py"", line 94, in 
    print dec_rsa(b, d, n)
  File ""rsa.py"", line 88, in dec_rsa
    char_array.append(decrypt_byte(i, d, n))
  File ""rsa.py"", line 77, in decrypt_byte
    return find_key(alpha, (c**d)%n)
  File ""rsa.py"", line 67, in find_key
    return [k for k, v in dic.iteritems() if v == val][0]
IndexError: list index out of range
</pre>

<p>The code:</p>

<pre><code>import fractions, sys, random, math

def isPrime( no ):
    if no &lt; 2: return False
    if no == 2: return True
    if not no&amp;1: return False
    for x in range(3, int(no**0.5)+1, 2):
        if no%x == 0:
            return False
    return True

def primes_range(low, high):
    primes = []
    for i in range(high-low):
        if isPrime(i+low):
            primes.append(i+low)
    return primes

let = 'abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ 0123456789~!@#$%^&amp;*()_+'"";:[]/&lt;&gt;,.""
a, alpha = 2, {}
for i in let:
    alpha[i] = a
    a+=1

Low = 29
High = 1000
p = random.choice(primes_range(Low, High))
q = random.choice(primes_range(Low, High))
while p == q:
    q = random.choice(primes_range(Low, High))
print ""p "",p
print ""q "",q
#p = 104729
#q = 3

p, q = int(p), int(q)
n = p*q
phi = (p-1)*(q-1)
print ""n "",n
print ""phi "",phi

for i in range(2, q if q&gt;p else p):
    if fractions.gcd(i, phi) == 1:
        e = i
        break
print ""e "",e

def egcd(a,b):
    u, u1 = 1, 0
    v, v1 = 0, 1
    while b:
        q = a // b
        u, u1 = u1, u - q * u1
        v, v1 = v1, v - q * v1
        a, b = b, a - q * b
    return u, v, a

def modInverse(e, phi):
    return egcd(e, phi)[0]%n

d = modInverse(e, n)
print ""d "",d

def find_key(dic, val):
    #print ""val "",val
    #print ""dic "",list(dic.iteritems())
    return [k for k, v in dic.iteritems() if v == val][0]

def encrypt_byte(byte, e, n):
    try:
        m = alpha[byte]
    except:
        m = int(byte)
    return (m**e)%n

def decrypt_byte(c, d, n):
    return find_key(alpha, (c**d)%n)

def enc_rsa(string, e, n):
    char_array = []
    for i in range(len(string)):
        char_array.append(encrypt_byte(alpha[string[i]], e, n))
    return char_array

def dec_rsa(enc_arr, d, n):
    char_array = []
    for i in enc_arr:
        char_array.append(decrypt_byte(i, d, n))
    return ''.join(char_array)

a = ""hello, world""
b = enc_rsa(a, e, n)
#print b
print dec_rsa(b, d, n)
</code></pre>
"
stackoverflow,python;encryption;rsa,20341914,20785132,1,"2013/12/02, 23:46:37",True,"2023/05/30, 11:24:57","2013/12/03, 00:12:22",1800893,1103,6,2071,RSA encrypt/decrypt failing in my own implementation in python,"<p>I'm doing a work for school in which I've got to implement rsa generating of public/private keys and encryption/decryption of a binary message. I already generate public/private keys but my encrypt/decrypt functions aren't working. I don't get any execution errors but the message I encrypt isn't the same when I decrypt.</p>

<p>My code for encrypting a block:</p>

<pre><code>def encrypt_block(block,block_size,e,n):
    number = int(block,2) #convert to decimal number
    cipher_number = pow(number,e,n) #method for fastest exponentiation number^e mod n
    cipher_size = len(bin(cipher_number)) - 2
    tmp_text = '{0:b}'.format(cipher_number) 
    while(len(tmp_text)&lt;block_size): #add zeros to left to fill until block_size
        tmp_text = ""0"" + tmp_text
    return tmp_text
</code></pre>

<p>My encryption code:</p>

<pre><code>    block_size = len(bin(n-1)) - 2 #size of encrypted blocks
    text_size = block_size - 5 #size of clear text blocks

    tmp_text = """" #variable for holding current block
    encrypted_message = """"

    for i in data:
        if(len(tmp_text)==text_size): #when a block is complete
            tmp_text = encrypt_block('1'+tmp_text,block_size,e,n) #add '1' so I don t loose left zeros
            encrypted_message += tmp_text
            tmp_text = """"
        if(i == '0' or i == '1'): #just precaution so I won t add other characters
            tmp_text += i


    if(tmp_text != """"): # in case last block isnt the clear text size
        tmp_text = encrypt_block('1'+tmp_text,block_size,e,n) #add '1' so I don t loose left zeros
            encrypted_message += tmp_text

    print encrypted_message
</code></pre>

<p>And my decryption method:</p>

<pre><code>    block_size = len(bin(n-1)) - 2

    tmp_text = """"
    decrypted_message = """"

    for i in data:
        if(len(tmp_text) == block_size): 
            number = int(tmp_text,2) 
            plain_number = pow(number,d,n) 
            decrypted_message += '{0:b}'.format(plain_number)[1::] #remove the '1' that I added in all blocks to prevent loosing zeros
        if(i == '1' or i == '0'):
            tmp_text += i

    print decrypted_message
</code></pre>

<p>So for example if my message is:</p>

<pre><code>11001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011110011001111001100111100110011
</code></pre>

<p>I get this encrypted message (with 64 or plus bits for key size):</p>

<pre><code>0101110010110010100110111010111011111001001101010110010100000110011011101111101111100000011110101101010000000001010110000111010101001000111100000011110110110011111001111000111000101011000000101111000100110100100100010100000000011101111110111101100011110011010001111000000101010010100111010010001000110010100111111000101001010101100010101001010000110010001101000111001111110010110111001000100101001000100100110011010101000111100101100111010110010000101111100111001001100110111110000100100001010100100110110100100011100010010100101000111011101101111110001000010111101111110000100001011100110010101111010010001011101000111100110101110111011100100001000010100011010001010111010000011100111100001110100100011100000101011011000001010001011101011111010110111001111001011001100001010010110000
</code></pre>

<p>And when I decrypt I get this:</p>

<pre><code>0000110010111101000001100010110000010000110110111110001010110011100010111010111001100011110101100
</code></pre>

<p>Does anyone have any idea why this isn't working?</p>
"
stackoverflow,python;encryption;rsa,23127556,nan,0,"2014/04/17, 04:52:51",False,"2014/04/17, 04:52:51",nan,3544284,61,6,2203,"Trouble loading RSA public and private keys from a file, python","<p>I am having trouble using the rsa module in python, I need to load two public and private keys from a file, this is how I open the private key file for example:</p>

<pre><code>private_key_file = ""privKey.pem""
keydata = open(private_key_file).read()
privKey = rsa.PrivateKey.load_pkcs1(keydata, 'PEM')
</code></pre>

<p>and I get this error message:
ValueError: No PEM start marker ""b'-----BEGIN RSA PRIVATE KEY-----'"" found</p>

<p>although the file content start with ""-----BEGIN RSA PRIVATE KEY-----""
one note is that the file does not contain the leading characters <strong>b'</strong> I don't know where it comes from or whether it's relevant in this particular problem!.</p>

<p>any help would be appreciated</p>
"
